TripID,MMSI,MeanSOG,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,DepTime,ArrTime,DepLat,DepLon,ArrLat,ArrLon,DepCountry,DepCity,ArrCountry,ArrCity,Duration
1,367114690,0.0,,,,,,,,,2017-01-01 00:00:06,2017-01-01 02:40:45,48.51094000000001,-122.60705,48.51095,-122.60705,US,Anacortes,US,Anacortes,0 days 02:40:39
2,367479990,6.536585365853656,WSF KENNEWICK,IMO9618331,WDF6991,1012.0,83.39,19.5,3.2,,2017-01-01 00:00:03,2017-01-01 02:40:44,48.15891,-122.67268,48.11099,-122.75885,US,Coupeville,US,Port Townsend,0 days 02:40:41
3,368319000,0.0007575757575757576,,,,,,,,,2017-01-01 00:00:08,2017-01-01 02:44:48,43.34576,-124.32142,43.34578,-124.32141,US,Barview,US,Barview,0 days 02:44:40
4,367154100,6.871111111111111,,,,,,,,,2017-01-01 00:00:15,2017-01-01 02:33:28,46.74264,-124.93125,47.02928,-124.95153,US,Ocean Shores,US,Ocean Shores,0 days 02:33:13
5,367446870,0.0,,,,,,,,,2017-01-01 00:00:59,2017-01-01 02:42:54,48.5132,-122.60718,48.51318,-122.60699,US,Anacortes,US,Anacortes,0 days 02:41:55
6,367750760,0.019607843137254898,,,,,,,,,2017-01-01 00:01:04,2017-01-01 02:43:01,47.62984,-122.33168,47.62985,-122.33166,US,Seattle,US,Seattle,0 days 02:41:57
7,338085245,0.004081632653061225,,,,,,,,,2017-01-01 00:01:08,2017-01-01 02:40:07,45.61893,-122.80377,45.61893,-122.80374,US,Oak Hills,US,Oak Hills,0 days 02:38:59
8,366710810,7.50069444444445,,,,,,,,,2017-01-01 00:00:00,2017-01-01 02:41:02,47.79458,-122.49457,47.79459,-122.49457,US,Kingston,US,Kingston,0 days 02:41:02
9,338205428,6.610489510489508,,,,,,,,,2017-01-01 00:00:06,2017-01-01 02:39:59,45.61833,-122.67441,45.85155,-122.79689,US,Vancouver,US,Saint Helens,0 days 02:39:53
10,367119910,0.0,,,,,,,,,2017-01-01 00:01:22,2017-01-01 02:37:20,46.16795,-123.91431,46.16794,-123.91432,US,Warrenton,US,Warrenton,0 days 02:35:58
11,367585430,0.014285714285714284,MAKARIOS,,WDG9205,1019.0,18.11,5.1,,,2017-01-01 00:00:12,2017-01-01 02:42:10,48.51293,-122.60735,48.51296,-122.60736,US,Anacortes,US,Anacortes,0 days 02:41:58
12,316021351,0.002272727272727273,BRITANNIA,IMO8120650,VY5348,1012.0,38.41,9.76,2.8,60.0,2017-01-01 00:00:00,2017-01-01 02:38:17,49.29479,-123.13286,49.29481,-123.13285,CA,West End,CA,West End,0 days 02:38:17
13,338170012,0.0,OFF LINE,,,1019.0,11.49,,,,2017-01-01 00:00:39,2017-01-01 02:21:38,37.58868,-122.31628,37.58869,-122.31625,US,San Mateo,US,San Mateo,0 days 02:20:59
14,367536390,0.03600000000000001,APRIL LOON II,,WDG4420,1019.0,14.94,4.7,,,2017-01-01 00:00:39,2017-01-01 02:42:36,48.68218,-123.40237,48.68219000000001,-123.40236000000002,CA,North Saanich,CA,North Saanich,0 days 02:41:57
